fbase,qrunid,SIDTIME,LSTEND,HA,HAEND,AIRMASS,TELALT,TELAZ,CRVAL1,CRVAL2,JDTDB,OBS_X,OBS_Y,OBS_Z,OBS_VX,OBS_VY,OBS_VZ
wircam_J_1642342p_fixed.fits.fz.fcat,13AQ12,19:41:30.64,19:41:56.06,0:03:05.53,0:03:30.95,1.037,74.7242,357.6534,294.587040000,35.0951600000,2456498.910831127,0.5447538848303408,-0.7888207131254985,-0.3420169368136301,0.01447292102216138,0.008509541068373578,0.003642078510955255
wircam_J_1642343p_fixed.fits.fz.fcat,13AQ12,19:42:09.54,19:42:34.66,0:03:42.48,0:04:07.60,1.037,74.6708,357.1831,294.595240000,35.1417880000,2456498.911280227,0.5447603845351684,-0.788816891322949,-0.3420153011463709,0.01447254659748204,0.008510287555931832,0.003642122133761353
wircam_J_1642344p_fixed.fits.fz.fcat,13AQ12,19:42:45.19,19:43:10.61,0:04:17.14,0:04:42.56,1.037,74.6889,356.7385,294.599350000,35.1168080000,2456498.911691627,0.5447663384699823,-0.7888133900501441,-0.3420138027691103,0.01447220204781537,0.008510970636199202,0.00364216212133361
wircam_J_1642345p_fixed.fits.fz.fcat,13AQ12,19:43:29.61,19:43:54.67,0:05:05.48,0:05:30.54,1.037,74.6736,356.1083,294.582990000,35.1201400000,2456498.912204327,0.5447737582575192,-0.788809026257466,-0.3420119354198093,0.01447177054335521,0.008511820857909087,0.003642211926240411
wircam_J_1642346p_fixed.fits.fz.fcat,13AQ12,19:44:04.00,19:44:29.12,0:05:33.51,0:05:58.63,1.037,74.6524,355.7560,294.609510000,35.1335290000,2456498.912601327,0.5447795034837563,-0.788805646934068,-0.3420104894540307,0.01447143477993858,0.008512478425444406,0.003642250503782571
wircam_J_1642347p_fixed.fits.fz.fcat,13AQ12,19:44:43.85,19:45:09.02,0:06:22.17,0:06:47.34,1.037,74.6671,355.1181,294.572850000,35.1035070000,2456498.913061327,0.5447861602539515,-0.7888017310188866,-0.3420088140085086,0.01447104385790712,0.008513239445125338,0.003642295184111242
wircam_H2_1644696p_fixed.fits.fz.fcat,13AQ12,18:45:20.06,18:45:30.14,-0:53:06.02,-0:52:55.94,1.060,70.7325,34.7561,294.591220000,35.1186040000,2456502.86091782,0.5997814694429289,-0.7539287341330622,-0.3268880197746603,0.01385966148825422,0.009309883792002708,0.004014915425897722
wircam_H2_1644697p_fixed.fits.fz.fcat,13AQ12,18:45:42.97,18:45:53.10,-0:52:35.78,-0:52:25.65,1.060,70.8066,34.5348,294.560620000,35.1102880000,2456502.86118232,0.599785135306782,-0.7539262716065911,-0.3268869578262551,0.01385953519362105,0.009310353763846427,0.004014940013297523
wircam_H2_1644698p_fixed.fits.fz.fcat,13AQ12,18:46:04.73,18:46:14.91,-0:52:23.80,-0:52:13.62,1.059,70.8464,34.4704,294.601400000,35.0936010000,2456502.86143342,0.5997886154208939,-0.7539239337207946,-0.326885949671892,0.01385941443335601,0.009310799668238943,0.004014963353701957
wircam_H2_1644699p_fixed.fits.fz.fcat,13AQ12,18:46:27.79,18:46:38.12,-0:52:05.63,-0:51:55.30,1.059,70.8609,34.2604,294.621770000,35.1269120000,2456502.86169962,0.5997923047798849,-0.7539214551230361,-0.3268848808853617,0.01385928590030006,0.009311272345577911,0.004014988126168208
