FILENAME,FILTER,OFFSET_X,OFFSET_Y,OFFSET_R,REF_SRCS,INT_SRCS,INT_REF,QSOGRADE
aligned_p1/11BQ02_NE/interp_wircam_J_1325829p.fits,J       ,295.556885,-99.226395,311.768738,2408,2648,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325830p.fits,J       ,-97.613754,-295.454681,311.162201,2408,2722,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325831p.fits,J       ,-196.364532,-196.899063,278.079620,2408,2418,wircam_J_1325826p.fits,2
aligned_p1/11BQ02_NE/interp_wircam_J_1325832p.fits,J       ,196.501770,196.773346,278.087555,2408,2500,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325833p.fits,J       ,138.666779,-236.877213,274.480042,2408,2646,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325834p.fits,J       ,-138.353622,236.516815,274.010834,2408,2342,wircam_J_1325826p.fits,3
aligned_p1/11BQ02_NE/interp_wircam_J_1325835p.fits,J       ,-236.027130,-58.515816,243.172592,2408,2509,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325836p.fits,J       ,236.124161,58.020454,243.148087,2408,2456,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325837p.fits,J       ,-58.553555,-138.068527,149.971451,2408,2531,wircam_J_1325826p.fits,2
aligned_p1/11BQ02_NE/interp_wircam_J_1325838p.fits,J       ,58.697399,137.911575,149.883255,2408,2185,wircam_J_1325826p.fits,2
aligned_p1/11BQ02_NE/interp_wircam_J_1325839p.fits,J       ,118.592857,-118.629211,167.741333,2408,2439,wircam_J_1325826p.fits,2
aligned_p1/11BQ02_NE/interp_wircam_J_1325840p.fits,J       ,-118.725105,118.398705,167.672012,2408,2500,wircam_J_1325826p.fits,1
aligned_p1/11BQ02_NE/interp_wircam_J_1325841p.fits,J       ,-40.295864,275.915436,278.842407,2408,2315,wircam_J_1325826p.fits,2
