filename,jdtdb,x,y,z,vx,vy,vz,lighttime,range,range_rate
SPITZER_I1_46988032_0004_0000_2_cbcd.fits,2456260.082389086,1.022989802876911,-0.0159260476250998,0.01379936600920659,0.0001381453631773787,0.01690417903540562,0.000243837276677289,0.005909549750815579,1.023206820875112,-0.0001217062476204301
SPITZER_I1_46988032_0005_0000_2_cbcd.fits,2456260.083560371,1.022989964491185,-0.01590624801422795,0.01379965160949656,0.0001378153105956632,0.01690418340248357,0.0002438328183612357,0.005909548927490042,1.023206678320714,-0.0001217091802462997
SPITZER_I1_46988032_0006_0000_2_cbcd.fits,2456260.084731656,1.022990125718873,-0.01588644839824474,0.01379993720456452,0.000137485257864902,0.01690418776318349,0.0002438283599517785,0.005909548104144665,1.023206535762881,-0.000121712112831129
SPITZER_I1_46988032_0007_0000_2_cbcd.fits,2456260.08590294,1.022990286559912,-0.01586664878502927,0.01380022279429681,0.000137155205116433,0.01690419211750364,0.0002438239014506912,0.005909547280779776,1.02320639320167,-0.0001217150453737504
SPITZER_I1_46988032_0008_0000_2_cbcd.fits,2456260.087069572,1.022990446377858,-0.01584692780429992,0.01380050724456946,0.0001368264630810179,0.01690419644818976,0.000243819460564459,0.005909546460665304,1.023206251203251,-0.0001217179662284785
SPITZER_I1_46988032_0009_0000_2_cbcd.fits,2456260.088245464,1.022990607076067,-0.01582705030686486,0.01380079394708169,0.0001364951119012971,0.01690420080684249,0.0002438149843402613,0.005909545634022242,1.023206108074442,-0.0001217209102227779
SPITZER_I1_46988032_0010_0000_2_cbcd.fits,2456260.089412142,1.02299076613014,-0.01580732854458554,0.01380107839807749,0.0001361663567105046,0.01690420512499219,0.0002438105430942573,0.005909544813836171,1.023205966063626,-0.0001217238311099944
SPITZER_I1_46988032_0011_0000_2_cbcd.fits,2456260.090583473,1.022990925432696,-0.01578752812388579,0.01380136397829406,0.0001358362902463746,0.01690420945399743,0.0002438060840426796,0.005909543990359275,1.023205823483021,-0.0001217267636051806
SPITZER_I1_46988032_0012_0000_2_cbcd.fits,2456260.091750104,1.022991083711889,-0.01576780713081757,0.01380164840766659,0.0001355075477511066,0.01690421375929592,0.0002438016427864871,0.005909543170166173,1.023205681470988,-0.0001217296842953725
SPITZER_I1_46988032_0013_0000_2_cbcd.fits,2456260.092921436,1.022991242242824,-0.01574800669214001,0.01380193397757138,0.000135177480859807,0.01690421807557131,0.0002437971835467114,0.005909542346649352,1.02320553888347,-0.0001217326167097864
SPITZER_I1_46988032_0014_0000_2_cbcd.fits,2456260.09409272,1.022991400380799,-0.01572820704344623,0.01380221953078685,0.0001348474270734083,0.0169042223852952,0.0002437927243925948,0.005909541523145763,1.023205396298244,-0.0001217355489654059
SPITZER_I1_46988032_0015_0000_2_cbcd.fits,2456260.095264052,1.022991558138514,-0.01570840659467224,0.01380250509024514,0.0001345173598860503,0.01690422668881367,0.0002437882649660329,0.005909540699589266,1.023205253703857,-0.0001217384812977139
SPITZER_I1_46988032_0016_0000_2_cbcd.fits,2456260.096430684,1.022991714879001,-0.01568868558151214,0.01380278949882915,0.0001341886168016268,0.01690423096872591,0.0002437838233381329,0.005909539879317214,1.023205111678154,-0.000121741401824515
SPITZER_I1_46988032_0017_0000_2_cbcd.fits,2456260.097601875,1.02299187184633,-0.01566888748418595,0.01380307501380565,0.0001338585886846597,0.01690423525900142,0.0002437793642570402,0.005909539055819353,1.023204969093919,-0.0001217443337251641
SPITZER_I1_46988032_0018_0000_2_cbcd.fits,2456260.098773299,1.022992028458161,-0.01564908545388543,0.01380336058020441,0.0001335284949423402,0.01690423954374914,0.00024377490419787,0.005909538232138269,1.02320482647796,-0.0001217472661664433
SPITZER_I1_46988032_0019_0000_2_cbcd.fits,2456260.099944399,1.02299218464008,-0.01562928890511079,0.01380364606225892,0.0001331984925114889,0.01690424382093272,0.0002437704452810844,0.005909537408665573,1.023204683898083,-0.0001217501977541838
SPITZER_I1_46988032_0020_0000_2_cbcd.fits,2456260.101111031,1.022992339841934,-0.01560956787197863,0.0138039304500537,0.0001328697488398593,0.01690424807545989,0.0002437660032815273,0.005909536588314575,1.023204541858711,-0.0001217531181175837
SPITZER_I1_46988032_0021_0000_2_cbcd.fits,2456260.102282362,1.022992495283069,-0.01558976740101197,0.0138042159780988,0.0001325396808997158,0.01690425234075757,0.0002437615432970768,0.005909535764639552,1.023204399243801,-0.000121756050202721
SPITZER_I1_46988032_0022_0000_2_cbcd.fits,2456260.103453693,1.022992650337587,-0.01556996692504798,0.0138045015009198,0.000132209612812369,0.01690425659967677,0.0002437570832193394,0.005909534940944695,1.023204256625458,-0.0001217589822467896
SPITZER_I1_46988032_0023_0000_2_cbcd.fits,2456260.104624839,1.022992804981104,-0.01555016956914809,0.01380478697345457,0.0001318795966716736,0.01690426085154667,0.0002437526237521577,0.005909534117360006,1.023204114026189,-0.0001217619137870495
SPITZER_I1_46988032_0024_0000_2_cbcd.fits,2456260.105791517,1.022992958650356,-0.01553044773686776,0.01380507135169487,0.0001315508394241287,0.01690426508085515,0.0002437481812053931,0.005909533296897649,1.023203971967536,-0.0001217648341024216
SPITZER_I1_46988032_0025_0000_2_cbcd.fits,2456260.106962848,1.022993112546612,-0.01551064724599209,0.01380535685886427,0.0001312207708967283,0.01690426932066477,0.0002437437208478881,0.005909532473143368,1.023203829338904,-0.000121767766023467
SPITZER_I1_46988032_0026_0000_2_cbcd.fits,2456260.108134086,1.022993266044181,-0.01549084830874376,0.01380564233833608,0.0001308907282039371,0.01690427355376276,0.0002437392607481055,0.005909531649434094,1.023203686718064,-0.0001217706976726655
SPITZER_I1_46988032_0027_0000_2_cbcd.fits,2456260.109305417,1.022993419167228,-0.01547104780795098,0.01380592783505656,0.000130560659383378,0.01690427778081557,0.000243734800203845,0.005909530825640147,1.023203544082564,-0.0001217736295115796
SPITZER_I1_46988032_0028_0000_2_cbcd.fits,2456260.110476702,1.022993571897652,-0.01545124808150597,0.01380621331531613,0.0001302306034070537,0.01690428200132373,0.0002437303397417658,0.00590953000185879,1.023203401449243,-0.0001217765611940379
SPITZER_I1_46988032_0029_0000_2_cbcd.fits,2456260.111643427,1.022993723649108,-0.015431525437402,0.01380649767890727,0.0001299018323085288,0.01690428619905902,0.0002437258965530008,0.005909529181264981,1.02320325936783,-0.0001217794814216051
SPITZER_I1_46988032_0030_0000_2_cbcd.fits,2456260.112814711,1.022993875607797,-0.01541172570897595,0.01380678314862453,0.0001295717761715692,0.01690429040683401,0.0002437214359063246,0.005909528357444364,1.023203116727711,-0.0001217824130209229
SPITZER_I1_46988032_0031_0000_2_cbcd.fits,2456260.11398595,1.022994027173998,-0.01539192674704935,0.01380706860199508,0.0001292417327480163,0.01690429460806727,0.0002437169753400805,0.005909527533636012,1.023202974089717,-0.0001217853444649551
SPITZER_I1_46988032_0032_0000_2_cbcd.fits,2456260.115152582,1.022994177759769,-0.01537220565471171,0.01380735292740947,0.0001289129873262193,0.01690429878643588,0.0002437125322256011,0.005909526713048202,1.023202832009342,-0.0001217882643380286
SPITZER_I1_46988032_0033_0000_2_cbcd.fits,2456260.116323913,1.022994328566226,-0.01535240512438551,0.01380763839282168,0.000128582917630228,0.01690430297526833,0.0002437080711218558,0.005909525889135415,1.023202689353265,-0.0001217911959308447
SPITZER_I1_46988032_0034_0000_2_cbcd.fits,2456260.117495197,1.022994478980151,-0.015332605368453,0.01380792384177356,0.0001282528607792294,0.01690430715755761,0.0002437036101003277,0.005909525065235224,1.023202546699369,-0.0001217941273672075
SPITZER_I1_46988032_0035_0000_2_cbcd.fits,2456260.118666389,1.02299462899563,-0.01531280717409056,0.01380820926291748,0.0001279228298952595,0.01690431133313856,0.000243699149338386,0.00590952424138039,1.023202404053327,-0.0001217970585305799
SPITZER_I1_46988032_0036_0000_2_cbcd.fits,2456260.119833021,1.022994778042726,-0.01529308606225573,0.01380849356753527,0.0001275940838939233,0.01690431548612125,0.0002436947058523285,0.00590952342071365,1.023202261959285,-0.0001217999782401774
SPITZER_I1_46988032_0037_0000_2_cbcd.fits,2456260.121004306,1.022994927298385,-0.01527328629955233,0.01380877900071897,0.0001272640267384495,0.01690431964930011,0.0002436902445528826,0.005909522596754377,1.02320211929516,-0.0001218029095523165
