FILENAME DATE_OBS CRPIX1 CRPIX2 CRVAL1 CRVAL2 CRDER1 CRDER2 A_ORDER A_0_2 A_0_3 A_0_4 A_0_5 A_1_1 A_1_2 A_1_3 A_1_4 A_2_0 A_2_1 A_2_2 A_2_3 A_3_0 A_3_1 A_3_2 A_4_0 A_4_1 A_5_0 A_DMAX B_ORDER B_0_2 B_0_3 B_0_4 B_0_5 B_1_1 B_1_2 B_1_3 B_1_4 B_2_0 B_2_1 B_2_2 B_2_3 B_3_0 B_3_1 B_3_2 B_4_0 B_4_1 B_5_0 B_DMAX
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0011_0000_6_cbcd.fits 2008-09-17T18:12:56.200 128. 128. 63.8363954869281 -9.58259743653471 4.26049786351337E-05 4.20097323397859E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0012_0000_6_cbcd.fits 2008-09-17T18:13:27.395 128. 128. 63.8363930514442 -9.58259425750252 4.24716344185996E-05 4.19195627201661E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0013_0000_6_cbcd.fits 2008-09-17T18:14:05.805 128. 128. 63.8305562005441 -9.58225488068488 4.20508331293499E-05 4.18329642063543E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0014_0000_6_cbcd.fits 2008-09-17T18:14:37.395 128. 128. 63.8305827290379 -9.58226148977084 4.23191197951818E-05 4.20181290552668E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0015_0000_6_cbcd.fits 2008-09-17T18:15:16.196 128. 128. 63.8376192933435 -9.57488731902447 4.20006697115965E-05 4.1687813421113E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0016_0000_6_cbcd.fits 2008-09-17T18:15:47.797 128. 128. 63.837622816999 -9.57489165090597 4.19761173493492E-05 4.16748800238225E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0017_0000_6_cbcd.fits 2008-09-17T18:16:26.598 128. 128. 63.8381212003175 -9.58301238566205 4.14632669686802E-05 4.13631463413653E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0018_0000_6_cbcd.fits 2008-09-17T18:16:57.797 128. 128. 63.8381441003165 -9.58305565066071 4.17147240297055E-05 4.16301911949734E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0019_0000_6_cbcd.fits 2008-09-17T18:17:36.997 128. 128. 63.8429609383443 -9.58902404118055 4.15893812058083E-05 4.14131311007596E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17577216_0020_0000_6_cbcd.fits 2008-09-17T18:18:08.188 128. 128. 63.8429640659614 -9.58899242618423 3.99179043353737E-05 3.96233395690888E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
